iter	Passed	Remaining
0	2	2018
1	4	2032
2	7	2652
3	9	2309
4	10	2082
5	12	1995
6	13	1899
7	14	1858
8	17	1900
9	19	1925
10	21	1890
11	23	1898
12	25	1908
13	27	1911
14	29	1912
15	30	1890
16	32	1890
17	33	1842
18	35	1855
19	38	1878
20	40	1883
21	42	1885
22	44	1871
23	45	1855
24	47	1856
25	50	1880
26	52	1905
27	55	1937
28	58	1956
29	62	2030
30	66	2089
31	68	2069
32	70	2067
33	72	2051
34	73	2033
35	75	2026
36	77	2005
37	78	1999
38	80	1979
39	82	1978
40	84	1975
41	86	1962
42	88	1959
43	90	1955
44	91	1931
45	92	1911
46	94	1918
47	96	1918
48	97	1898
49	99	1896
50	101	1892
51	103	1877
52	105	1877
53	107	1880
54	110	1891
55	112	1890
56	114	1889
57	115	1870
58	117	1867
59	118	1852
60	119	1843
61	121	1839
62	123	1833
63	125	1840
64	127	1840
65	129	1839
66	132	1838
67	134	1837
68	136	1839
69	138	1837
70	140	1836
71	142	1834
72	144	1833
73	146	1831
74	148	1829
75	149	1818
76	151	1820
77	153	1817
78	155	1813
79	157	1812
80	160	1819
81	162	1818
82	164	1817
83	167	1826
84	169	1821
85	171	1821
86	173	1820
87	175	1821
88	177	1818
89	179	1818
90	181	1812
91	183	1815
92	184	1803
93	187	1802
94	188	1792
95	190	1791
96	192	1793
97	194	1788
98	195	1777
99	200	1804
100	203	1810
101	206	1819
102	210	1831
103	212	1833
104	215	1832
105	217	1831
106	221	1847
107	226	1872
108	228	1867
109	230	1864
110	231	1857
111	234	1855
112	238	1869
113	240	1868
114	242	1866
115	244	1864
116	246	1861
117	251	1880
118	254	1881
119	256	1877
120	257	1869
121	259	1866
122	261	1861
123	263	1861
124	266	1867
125	269	1866
126	271	1863
127	272	1858
128	276	1867
129	278	1867
130	280	1857
131	282	1854
132	283	1849
133	285	1847
134	286	1837
135	287	1827
136	289	1823
137	292	1828
138	294	1826
139	296	1823
140	298	1820
141	300	1813
142	302	1810
143	305	1815
144	307	1813
145	309	1811
146	311	1808
147	313	1805
148	315	1803
149	317	1800
150	322	1814
151	326	1820
152	328	1817
153	330	1814
154	332	1811
155	335	1814
156	337	1811
157	338	1804
158	340	1799
159	342	1799
160	344	1797
161	347	1795
162	350	1797
163	352	1795
164	355	1797
165	356	1793
166	359	1791
167	361	1789
168	365	1794
169	367	1793
170	369	1791
171	371	1787
172	373	1784
173	375	1781
174	377	1778
175	380	1780
176	382	1778
177	384	1775
178	386	1773
179	388	1770
180	390	1767
181	394	1772
182	396	1770
183	398	1767
184	400	1765
185	402	1762
186	404	1757
187	405	1753
188	408	1753
189	410	1750
190	412	1747
191	414	1744
192	415	1738
193	417	1735
194	420	1734
195	424	1740
196	426	1738
197	428	1737
198	430	1731
199	432	1729
200	433	1723
201	436	1724
202	439	1724
203	441	1721
204	443	1719
205	445	1716
206	447	1713
207	448	1707
208	450	1705
209	452	1703
210	455	1702
211	457	1699
212	459	1697
213	461	1694
214	463	1692
215	465	1690
216	468	1691
217	471	1690
218	473	1687
219	475	1685
220	477	1684
221	481	1688
222	484	1687
223	486	1685
224	488	1683
225	490	1681
226	492	1678
227	495	1676
228	500	1685
229	502	1683
230	504	1678
231	506	1676
232	508	1674
233	511	1674
234	513	1672
235	515	1670
236	518	1668
237	520	1665
238	522	1663
239	524	1659
240	527	1662
241	533	1670
242	535	1668
243	537	1665
244	540	1666
245	544	1669
246	547	1670
247	549	1666
248	551	1663
249	555	1667
250	558	1666
251	560	1664
252	564	1667
253	567	1665
254	572	1673
255	575	1671
256	577	1668
257	579	1666
258	581	1663
259	584	1663
260	587	1662
261	589	1659
262	591	1656
263	592	1651
264	594	1648
265	596	1645
266	599	1644
267	601	1643
268	603	1640
269	605	1637
270	607	1635
271	609	1632
272	611	1629
273	614	1628
274	616	1626
275	618	1623
276	620	1620
277	623	1618
278	625	1615
279	627	1613
280	630	1614
281	633	1611
282	635	1609
283	637	1606
284	639	1605
285	642	1603
286	645	1602
287	646	1597
288	648	1594
289	653	1601
290	656	1599
291	659	1599
292	661	1597
293	663	1594
294	666	1592
295	668	1589
296	670	1587
297	672	1584
298	674	1582
299	676	1579
300	678	1576
301	683	1579
302	685	1576
303	689	1578
304	691	1576
305	693	1573
306	695	1570
307	697	1568
308	699	1565
309	702	1563
310	704	1560
311	706	1557
312	708	1555
313	710	1552
314	712	1549
315	714	1547
316	717	1545
317	718	1541
318	720	1538
319	722	1534
320	725	1533
321	727	1531
322	728	1526
323	730	1524
324	733	1523
325	734	1518
326	736	1515
327	738	1512
328	741	1511
329	743	1509
330	745	1506
331	748	1505
332	749	1502
333	751	1499
334	753	1495
335	755	1492
336	757	1489
337	759	1486
338	760	1482
339	762	1479
340	764	1477
341	766	1475
342	768	1472
343	770	1469
344	773	1467
345	778	1472
346	780	1469
347	782	1466
348	785	1464
349	787	1463
350	791	1463
351	794	1461
352	796	1459
353	798	1457
354	800	1454
355	802	1452
356	810	1460
357	814	1460
358	816	1458
359	818	1455
360	821	1454
361	823	1452
362	828	1453
363	831	1452
364	833	1449
365	841	1457
366	843	1454
367	845	1452
368	847	1449
369	852	1452
370	854	1449
371	857	1447
372	859	1444
373	861	1442
374	863	1439
375	866	1438
376	868	1435
377	870	1433
378	873	1431
379	876	1429
380	881	1431
381	883	1428
382	885	1426
383	888	1424
384	893	1427
385	897	1427
386	899	1425
387	902	1422
388	904	1420
389	906	1417
390	909	1415
391	911	1413
392	913	1410
393	915	1408
394	917	1405
395	919	1402
396	921	1399
397	924	1398
398	926	1395
399	928	1393
400	930	1390
401	933	1388
402	935	1385
403	937	1383
404	939	1380
405	942	1378
406	945	1377
407	948	1376
408	950	1373
409	953	1372
410	956	1370
411	958	1367
412	959	1364
413	961	1361
414	964	1358
415	966	1356
416	967	1353
417	970	1351
418	973	1349
419	976	1349
420	979	1346
421	981	1344
422	983	1342
423	985	1339
424	988	1336
425	990	1334
426	992	1331
427	994	1328
428	998	1329
429	1000	1326
430	1002	1323
431	1004	1320
432	1006	1318
433	1009	1316
434	1012	1315
435	1015	1313
436	1017	1310
437	1019	1307
438	1021	1305
439	1023	1302
440	1027	1302
441	1029	1299
442	1031	1297
443	1034	1295
444	1036	1293
445	1038	1290
446	1041	1288
447	1043	1286
448	1045	1283
449	1047	1280
450	1049	1278
451	1051	1275
452	1054	1273
453	1056	1271
454	1058	1268
455	1060	1265
456	1062	1262
457	1064	1259
458	1066	1257
459	1068	1254
460	1076	1258
461	1078	1256
462	1081	1254
